\fixlen = T
\RowsRetrieved = 67
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-09-16 15:19:59'
\DataTag = 'ADS/IRSA.Gator#2019/0916/151959_26700'
\DATABASE = 'NEOWISE-R Single Exposure (L1b) Source Table (neowiser_p1bs_psd)'
\EQUINOX = 'J2000'
\SKYAREA = 'within 2.75 arcsec of  ra=337.07819 dec=+22.01748 Eq J2000 '
\StatusFile = '/workspace/TMP_a60ce4_23406/Gator/irsa/26700/log.26700.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (24 column names follow in next row.)'
\ 
\ 
\ ra (deg)
\ ___ right ascension (J2000)
\ dec (deg)
\ ___ declination (J2000)
\ source_id
\ ___ unique source ID (scan ID, frame num, and source number)
\ w1mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 1
\ w1sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 1
\ w1snr
\ ___ instrumental profile-fit photometry S/N ratio, band 1
\ w2mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 2
\ w2sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 2
\ w2snr
\ ___ instrumental profile-fit photometry S/N ratio, band 2
\ cc_flags
\ ___ prioritized artifacts affecting the source in each band
\ ph_qual
\ ___ photometric quality of each band (A=highest, U=upper limit)
\ qual_frame
\ ___ quality score value for frame
\ mjd (mjdate)
\ ___ modified Julian date of the mid-point of the observation of the frame
\ w1mpro_allwise (mag)
\ ___ W1mpro magnitude  of the associated ALLWISE source
\ w1sigmpro_allwise (mag)
\ ___ W1 photometric uncertainty of the associated ALLWISE  source
\ w2mpro_allwise (mag)
\ ___ W2mpro magnitude  of the associated ALLWISE  source
\ w2sigmpro_allwise (mag)
\ ___ W2 photometric uncertainty of the associated ALLWISE  source
\ w3mpro_allwise (mag)
\ ___ W3mpro magnitude  of the associated ALLWISE  source
\ w3sigmpro_allwise (mag)
\ ___ W3 photometric uncertainty of the associated ALLWISE source
\ w4mpro_allwise (mag)
\ ___ W4mpro magnitude  of the associated ALLWISE  source
\ w4sigmpro_allwise (mag)
\ ___ W4 photometric uncertainty of the associated ALLWISE  source
\ tmass_key
\ ___ closest associated 2MASS All-Sky Release PSC key
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|tmass_key|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |int      |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |         |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null     |null    |null      |
 337.0782459 22.0174979 66097a170-003652 16.328     0.358    3.0 14.937     0.287    3.8 0000     CB              10 57358.94171934         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.197381  70.944808 
 337.0781897 22.0173817 77046a189-002349 15.698     0.181    6.0 14.974     0.317    3.4 0000     BB              10 57717.70767400         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.353876 180.162107 
 337.0783300 22.0174892 83000a072-002660 16.026     0.217    5.0 14.701     0.269    4.0 0000     BB              10 57912.61751729         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.468417  85.945408 
 337.0781082 22.0173682 94212a068-002434 16.368     0.314    3.5 14.301     0.200    5.4 0000     BB              10 58279.57261551         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.486336 214.149192 
 337.0782018 22.0173374 82988a072-002624 15.582     0.158    6.9 14.381     0.286    3.8 0000     BB              10 57912.22468434         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.514869 175.613198 
 337.0781057 22.0176121 49664a082-003170 16.008     0.205    5.3 14.600     0.252    4.3 0000     BB              10 56819.28553540         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.552553 329.390954 
 337.0781571 22.0173222 94202a092-003098 15.911      null    1.9 14.183     0.244    4.5 0000     UB              10 58279.24535733         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.578594 190.939603 
 337.0780783 22.0176207 99167a185-003722 16.507     0.373    2.9 14.671     0.314    3.5 0000     CB               5 58441.70234769         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.628914 323.647371 
 337.0780081 22.0174045 49657b107-002184 15.729     0.183    5.9 14.513     0.265    4.1 0000     BB              10 56819.08816205         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.665153 245.881247 
 337.0779906 22.0174677 82984a072-002376 15.831     0.187    5.8 14.829      null    1.7 0000     BU              10 57912.09378103         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.666961 266.193320 
 337.0779593 22.0174768 77061a164-002967 15.870     0.198    5.5 15.117      null    0.4 0000     BU              10 57718.16609131         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.770036 269.142847 
 337.0779470 22.0174356 82981b096-002069 15.309     0.177    6.1 15.118     0.516    2.1 0000     BC              10 57912.02820199         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.826600 258.850527 
 337.0781179 22.0177022 55130a198-005304 16.226     0.274    4.0 14.706      null    1.8 0000     BU              10 56999.07585336         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.835331 343.257804 
 337.0779403 22.0174389 60657b103-002420 15.447     0.128    8.5 15.278     0.495    2.2 0000     BC              10 57180.54357961         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.846392 259.932322 
 337.0779626 22.0175919 99175a186-002174 15.703     0.168    6.5 14.436     0.208    5.2 0000     BB              10 58441.96415465         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.859225 297.959218 
