|NAME|FWHM_BROAD_HA|FWHM_BROAD_HA_ERR|SIGMA_BROAD_HA|SIGMA_BROAD_HA_ERR|Z_BROAD_HA|FWHM_BROAD_HB|FWHM_BROAD_HB_ERR|SIGMA_BROAD_HB|SIGMA_BROAD_HB_ERR|Z_BROAD_HB|FWHM_CIV|FWHM_CIV_ERR|SIGMA_CIV|SIGMA_CIV_ERR|BLUESHIFT_CIV_HA|BLUESHIFT_CIV_HA_ERR|BLUESHIFT_CIV_HB|BLUESHIFT_CIV_HB_ERR|LOGL5100|LOGL1350|
|J000039.00-001803.9|4655.0|406.0|1976.0|165.0|2.1412||||||7981.0|565.0|3589.0|286.0|2902.0|191.0|||45.864|46.162|
|J000344.92-232354.8||||||7585.0|347.0|4058.0|207.0|2.2779|6087.0|20.0|3976.0|3.0|||1096.0|194.0|46.963|47.366|
|J000500.42-003348.2|2661.0|103.0|2466.0|169.0|2.1848||||||5829.0|281.0|3872.0|113.0|2557.0|72.0|||46.07|46.373|
|J000500.53+010220.8|2539.0|116.0|2123.0|176.0|2.1326||||||7475.0|436.0|3759.0|202.0|3297.0|104.0|||46.131|46.469|
|J001016.49+001227.6|3426.0|114.0|2754.0|142.0|2.2841||||||6206.0|266.0|4383.0|142.0|1799.0|105.0|||46.268|46.41|
|J001919.31+010152.2|2607.0|114.0|2424.0|175.0|2.3167||||||3663.0|89.0|3418.0|79.0|1009.0|55.0|||46.092|46.433|
|J001954.66-091316.4|4560.0|84.0|3494.0|41.0|2.1242||||||4560.0|542.0|4265.0|148.0|485.0|119.0|||46.034|46.234|
|J002018.41-233653.8||||||4788.0|445.0|4102.0|98.0|2.2935|3182.0|99.0|3228.0|104.0|||512.0|195.0|46.675|47.078|
|J002110.90-242247.2||||||4229.0|150.0|3395.0|127.0|2.2597|6801.0|291.0|3693.0|124.0|||570.0|104.0|46.551|46.954|
|J002329.60-003219.8|2909.0|234.0|2503.0|451.0|2.3989||||||5329.0|291.0|3559.0|204.0|1552.0|125.0|||46.052|46.335|
|J002948.04-095639.4|2914.0|32.0|2259.0|47.0|1.6163|3455.0|298.0|3374.0|377.0|1.616|3938.0|213.0|3211.0|135.0|549.0|48.0|516.0|140.0|46.205|46.315|
|J002952.12+020607.1||||||4847.0|227.0|3685.0|79.0|2.3421|3277.0|83.0|3398.0|47.0|||844.0|81.0|46.059|46.682|
|J004149.64-094705.0|5475.0|133.0|3262.0|64.0|1.6315||||||6899.0|278.0|4126.0|62.0|1218.0|56.0|||46.366|46.792|
|J004417.12-311436.0||||||4075.0|85.0|3028.0|39.0|2.3616|4787.0|237.0|3570.0|122.0|||1580.0|59.0|46.401|46.804|
|J004613.48+002358.0|3103.0|320.0|2754.0|627.0|2.1299||||||5744.0|198.0|3789.0|144.0|2314.0|138.0|||45.982|46.387|
|J005202.40+010129.2|4473.0|79.0|2932.0|58.0|2.2801||||||6518.0|125.0|4095.0|53.0|1710.0|42.0|||46.593|46.968|
|J005202.51+010130.5||||||4672.0|122.0|4325.0|78.0|2.2743|6551.0|199.0|4025.0|61.0|||1295.0|49.0|46.593|46.968|
|J005454.84-004244.0|3322.0|112.0|2439.0|253.0|2.2249||||||4955.0|100.0|3668.0|62.0|1685.0|48.0|||46.345|46.668|
|J005546.77-635853.7||||||5421.0|180.0|3825.0|106.0|2.2463|8074.0|613.0|3192.0|188.0|||2610.0|162.0|46.508|46.91|
|J005717.37-000113.2|5454.0|448.0|2307.0|180.0|2.1556||||||6599.0|530.0|2788.0|211.0|642.0|144.0|||45.749|46.256|
|J011143.62-350300.4||||||3176.0|489.0|2376.0|388.0|2.4051|2504.0|53.0|2399.0|21.0|||719.0|142.0|46.92|47.322|
|J011827.98-005239.9|3222.0|27.0|2613.0|36.0|2.1953|3487.0|263.0|4016.0|265.0|2.1972|5770.0|169.0|3432.0|166.0|1995.0|60.0|2168.0|146.0|46.262|46.581|
|J012417.38-374422.9||||||4143.0|309.0|4204.0|482.0|2.1974|8227.0|47.0|3661.0|21.0|||3473.0|134.0|46.724|47.127|
|J012656.07-320810.7||||||4597.0|264.0|3460.0|193.0|2.232|6374.0|401.0|3834.0|122.0|||1786.0|168.0|46.564|46.967|
|J013014.30-000639.2|3600.0|395.0|2759.0|461.0|2.4298||||||10339.0|1763.0|3603.0|654.0|5550.0|208.0|||46.181|46.712|
|J013929.51+001330.8|3994.0|51.0|2798.0|45.0|2.1026|4074.0|95.0|2680.0|40.0|2.102|3803.0|194.0|3253.0|110.0|384.0|37.0|326.0|42.0|45.856|46.37|
|J014705.42+133210.0|4108.0|67.0|2666.0|41.0|1.5965|4282.0|302.0|3048.0|335.0|1.5958|5222.0|190.0|2981.0|139.0|1426.0|35.0|1339.0|117.0|46.37|46.57|
|J014809.64-001017.7|4303.0|66.0|3107.0|27.0|2.1716|5073.0|193.0|4044.0|176.0|2.1684|5537.0|182.0|3840.0|65.0|2547.0|42.0|2246.0|116.0|46.306|46.623|
|J014944.43+150106.6|3589.0|86.0|2593.0|110.0|2.0725||||||6252.0|91.0|4211.0|28.0|1355.0|29.0|||46.554|46.813|
|J015733.87-004824.4|4347.0|639.0|2619.0|239.0|1.5514||||||7406.0|442.0|4112.0|96.0|561.0|99.0|||45.865|46.325|
|J020044.50+122319.1|3818.0|96.0|2576.0|261.0|1.6546||||||3735.0|179.0|3355.0|146.0|217.0|72.0|||46.132|46.443|
|J020143.48+003222.7||||||10604.0|510.0|4129.0|135.0|2.2918|4375.0|246.0|3498.0|182.0|||-134.0|163.0|45.688|46.102|
|J020327.29+003938.1|4471.0|449.0|2515.0|189.0|2.3015||||||4845.0|108.0|4224.0|62.0|1290.0|69.0|||46.158|46.381|
|J020505.80+011415.8|4130.0|1121.0|2493.0|448.0|2.2393||||||6499.0|188.0|3898.0|141.0|2430.0|362.0|||46.046|46.307|
|J020902.86-082531.8|4557.0|61.0|2960.0|44.0|2.1383|5493.0|174.0|3751.0|262.0|2.136|6679.0|397.0|3566.0|390.0|1856.0|158.0|1633.0|216.0|45.996|46.44|
|J023359.72+004938.5|3110.0|146.0|2651.0|166.0|2.5322|3913.0|320.0|3648.0|231.0|2.5352|5992.0|123.0|4059.0|48.0|2141.0|61.0|2390.0|139.0|46.533|46.894|
|J024008.24-230915.2||||||6471.0|57.0|3503.0|41.0|2.2311|6406.0|276.0|3814.0|139.0|||1565.0|106.0|47.05|47.453|
|J024650.93-004457.3|2157.0|127.0|974.0|531.0|2.1914||||||5435.0|399.0|3129.0|185.0|3312.0|146.0|||45.869|46.184|
|J025644.82+001247.1||||||5610.0|259.0|3944.0|121.0|2.2593|6751.0|137.0|3947.0|44.0|||1038.0|85.0|46.377|46.811|
|J025905.63+001121.9||||||4346.0|129.0|2971.0|141.0|3.3725|3611.0|41.0|3298.0|30.0|||642.0|79.0|46.69|47.078|
|J030449.85-000813.4||||||3309.0|33.0|2882.0|39.0|3.2896|2192.0|28.0|3182.0|58.0|||583.0|16.0|46.714|47.242|
|J031404.44-003947.3|1951.0|90.0|1559.0|92.0|2.1148||||||6855.0|793.0|3662.0|141.0|3623.0|129.0|||46.093|46.289|
