wavelength        flux_density
3199.30539694193  3.089313E-28
3200.35733827933  2.564443E-28
3201.40933772373  2.371468E-28
3202.46139522985  3.062099E-28
3203.51351075242  9.964284E-28
3204.56568424614  6.312483E-28
3205.61791566573  2.993755E-28
3206.67020496593  2.627179E-28
3207.72255210144  4.978542E-28
3208.77495702698  5.186859E-28
3209.82741969728  2.578452E-28
3210.87994006705  1.154376E-28
3211.93251809102  2.782791E-28
3212.98515372389  4.097353E-28
3214.0378469204  6.005114E-28
3215.09059763525  3.516087E-28
3216.14340582317  5.020636E-28
3217.19627143888  1.772587E-28
3218.2491944371  5.475010E-28
3219.30217477254  2.112246E-28
3220.35521239993  2.099678E-28
3221.40830727397  4.166014E-28
3222.46145934941  4.172180E-28
3223.51466858094  4.580551E-28
3224.56793492329  3.650398E-28
3225.62125833118  2.499125E-28
3226.67463875933  4.565936E-28
3227.72807616246  -2.422986E-29
3228.78157049529  5.479732E-28
3229.83512171253  3.991712E-28
3230.88872976891  3.468116E-28
3231.94239461914  3.481162E-28
3232.99611621794  1.119920E-28
3234.04989452003  3.436278E-28
3235.10372948014  -1.044490E-28
3236.15762105298  1.428820E-28
3237.21156919326  1.822963E-28
3238.26557385572  6.993915E-29
3239.31963499506  5.904229E-28
3240.373752566  2.727417E-28
3241.42792652328  4.557933E-28
3242.48215682159  3.468920E-28
3243.53644341567  2.709795E-28
3244.59078626024  2.259812E-28
3245.64518531  6.649935E-28
3246.69964051969  1.750489E-28
3247.75415184401  6.213012E-28
3248.80871923769  4.930519E-28
3249.86334265545  1.972634E-28
3250.91802205201  5.305749E-28
3251.97275738209  6.748675E-28
3253.0275486004  4.155028E-28
3254.08239566166  5.664743E-28
3255.13729852059  4.113062E-28
3256.19225713192  2.495508E-28
3257.24727145036  5.110769E-28
3258.30234143063  8.548188E-28
3259.35746702745  3.331514E-28
3260.41264819553  2.998621E-28
3261.46788488961  4.721692E-28
3262.52317706439  5.815208E-28
3263.5785246746  3.133209E-28
3264.63392767495  4.892916E-28
3265.68938602016  3.696605E-28
3266.74489966496  5.924792E-28
3267.80046856405  4.580313E-28
3268.85609267217  3.172413E-28
3269.91177194403  5.823637E-28
3270.96750633435  3.272291E-28
3272.02329579784  1.177013E-28
3273.07914028923  2.792105E-28
3274.13503976324  2.951292E-28
3275.19099417459  3.568484E-28
3276.24700347798  3.270970E-28
3277.30306762815  2.520164E-28
3278.35918657982  4.870031E-28
3279.41536028769  2.431903E-28
3280.47158870649  4.530754E-28
3281.52787179094  1.226683E-28
3282.58420949577  1.214123E-30
3283.64060177567  4.519416E-28
3284.69704858539  1.288653E-28
3285.75354987963  1.345998E-28
3286.81010561312  2.312917E-28
3287.86671574056  3.561882E-29
3288.9233802167  2.785243E-28
3289.98009899623  2.143285E-28
3291.03687203388  5.984942E-29
3292.09369928438  1.216643E-28
3293.15058070243  3.218204E-28
3294.20751624276  4.636272E-28
3295.26450586009  2.611273E-28
3296.32154950913  4.802352E-28
3297.37864714461  8.081541E-28
3298.43579872124  4.660241E-28
3299.49300419375  5.154855E-28
3300.55026351685  4.147308E-28
3301.60757664525  6.597362E-28
3302.66494353369  2.825368E-28
3303.72236413688  2.656638E-28
3304.77983840954  3.097391E-28
3305.83736630638  3.384467E-28
3306.89494778214  2.778764E-28
3307.95258279151  1.999566E-28
3309.01027128924  3.562049E-29
3310.06801323002  4.164083E-28
3311.12580856859  5.971631E-28
3312.18365725966  3.899091E-28
3313.24155925795  2.790456E-28
3314.29951451818  3.482848E-28
3315.35752299507  3.468740E-28
3316.41558464334  5.005990E-28
3317.4736994177  3.427284E-28
3318.53186727288  6.587802E-28
3319.5900881636  4.504355E-28
3320.64836204457  5.584142E-28
3321.70668887051  3.286506E-28
3322.76506859615  4.781695E-28
3323.82350117619  7.416143E-28
3324.88198656537  3.501761E-28
3325.9405247184  2.722304E-28
3326.99911558999  2.604355E-28
3328.05775913487  4.341979E-28
3329.11645530776  4.401255E-28
3330.17520406338  4.244330E-28
3331.23400535644  5.342653E-28
3332.29285914166  5.112448E-28
3333.35176537377  5.043652E-28
3334.41072400747  3.802673E-28
3335.4697349975  5.006164E-28
3336.52879829857  2.400072E-28
3337.5879138654  4.003965E-28
3338.64708165271  3.376335E-28
3339.70630161521  3.746553E-28
3340.76557370763  3.682888E-28
3341.82489788468  2.638169E-28
3342.88427410109  3.160476E-28
3343.94370231157  4.390149E-28
3345.00318247085  2.975215E-28
3346.06271453363  3.454997E-28
3347.12229845465  2.462556E-28
3348.18193418862  3.401057E-28
3349.24162169025  2.256979E-28
3350.30136091427  2.764016E-28
3351.3611518154  3.186849E-28
3352.42099434835  4.512009E-28
3353.48088846785  3.166151E-28
3354.54083412862  2.074039E-28
3355.60083128536  3.054984E-28
3356.66087989281  4.489217E-28
3357.72097990568  3.975168E-28
3358.78113127869  3.284724E-28
3359.84133396655  2.684906E-28
3360.901587924  3.674711E-28
3361.96189310574  4.398712E-28
3363.0222494665  4.658023E-28
3364.082656961  4.956038E-28
3365.14311554395  4.376680E-28
3366.20362517007  3.165324E-28
3367.26418579408  4.922714E-28
3368.32479737071  4.036428E-28
3369.38545985467  3.568741E-28
3370.44617320067  3.997569E-28
3371.50693736345  3.271008E-28
3372.56775229771  6.202074E-28
3373.62861795818  3.512322E-28
3374.68953429958  2.674096E-28
3375.75050127662  5.367398E-28
3376.81151884402  2.713643E-28
3377.87258695651  5.237986E-28
3378.93370556879  2.033880E-28
3379.9948746356  2.278693E-28
3381.05609411166  3.978858E-28
3382.11736395166  4.152143E-28
3383.17868411035  3.291889E-28
3384.24005454244  2.850816E-28
3385.30147520264  2.828860E-28
3386.36294604567  2.592199E-28
3387.42446702626  1.588218E-28
3388.48603809913  2.027333E-28
3389.54765921898  2.085343E-28
3390.60933034055  2.012428E-28
3391.67105141855  4.527199E-28
3392.7328224077  3.283686E-28
3393.79464326272  5.305495E-28
3394.85651393832  2.985912E-28
3395.91843438923  4.207583E-28
3396.98040457017  1.907847E-28
3398.04242443586  2.146532E-28
3399.104493941  1.856654E-28
3400.16661304033  2.194294E-28
3401.22878168856  2.194845E-28
3402.29099984042  2.626297E-28
3403.35326745061  1.547178E-28
3404.41558447386  3.431534E-28
3405.47795086489  2.936907E-28
3406.54036657842  2.934802E-28
3407.60283156916  2.671793E-28
3408.66534579184  2.804414E-28
3409.72790920118  1.496483E-28
3410.79052175188  1.976358E-28
3411.85318339869  2.729519E-28
3412.9158940963  3.323513E-28
3413.97865379944  4.115600E-28
3415.04146246283  2.315160E-28
3416.10432004119  3.967491E-28
3417.16722648924  3.360334E-28
3418.2301817617  3.372332E-28
3419.29318581328  4.592197E-28
3420.35623859871  3.242130E-28
3421.4193400727  3.965732E-28
3422.48249018997  4.404553E-28
3423.54568890525  4.358391E-28
3424.60893617324  4.013476E-28
3425.67223194868  4.433314E-28
3426.73557618628  4.494847E-28
3427.79896884075  2.781484E-28
3428.86240986683  4.750275E-28
3429.92589921921  5.378776E-28
3430.98943685264  4.314580E-28
3432.05302272182  4.367718E-28
3433.11665678147  3.516831E-28
3434.18033898632  5.368268E-28
3435.24406929107  4.812399E-28
3436.30784765046  3.973986E-28
3437.3716740192  4.366668E-28
3438.435548352  4.952047E-28
3439.4994706036  4.725749E-28
3440.5634407287  3.999125E-28
3441.62745868203  3.649233E-28
3442.6915244183  5.456758E-28
3443.75563789224  3.461849E-28
3444.81979905856  3.421878E-28
3445.88400787198  3.696611E-28
3446.94826428722  4.549617E-28
3448.012568259  3.287231E-28
3449.07691974205  2.707545E-28
3450.14131869107  6.883641E-29
3451.20576506079  1.024432E-28
3452.27025880592  2.358163E-28
3453.33479988119  2.605072E-28
3454.39938824132  3.452504E-28
3455.46402384102  4.659362E-28
3456.52870663501  3.742529E-28
3457.59343657801  4.270801E-28
3458.65821362475  4.799041E-28
3459.72303772993  3.729815E-28
3460.78790884828  3.465245E-28
3461.85282693453  5.465039E-28
3462.91779194337  3.865290E-28
3463.98280382955  3.558433E-28
3465.04786254777  2.823628E-28
3466.11296805275  2.815443E-28
3467.17812029922  2.544215E-28
3468.24331924189  2.802302E-28
3469.30856483548  3.667833E-28
3470.37385703471  2.880045E-28
3471.4391957943  2.715617E-28
3472.50458106897  5.115777E-28
3473.57001281343  4.391439E-28
3474.63549098242  2.838825E-28
3475.70101553064  3.548163E-28
3476.76658641281  3.101870E-28
3477.83220358366  4.265434E-28
3478.8978669979  3.881526E-28
3479.96357661025  3.833811E-28
3481.02933237543  4.446621E-28
3482.09513424816  5.226606E-28
3483.16098218316  4.520577E-28
3484.22687613515  3.683807E-28
3485.29281605885  4.845061E-28
3486.35880190897  4.304754E-28
3487.42483364024  4.686381E-28
3488.49091120737  4.357348E-28
3489.55703456509  3.795921E-28
3490.62320366811  2.110502E-28
3491.68941847115  2.726214E-28
3492.75567892893  2.845485E-28
3493.82198499617  2.552222E-28
3494.88833662758  3.708592E-28
3495.9547337779  5.454263E-28
3497.02117640183  4.817005E-28
3498.0876644541  4.042517E-28
3499.15419788942  3.108834E-28
3500.22077666252  3.034238E-28
3501.28740072811  3.556708E-28
3502.35407004091  3.919265E-28
3503.42078455564  5.306669E-28
3504.48754422703  4.994154E-28
3505.55434900978  3.956033E-28
3506.62119885862  3.362461E-28
3507.68809372826  3.123900E-28
3508.75503357344  3.178607E-28
3509.82201834885  2.502201E-28
3510.88904800924  3.025242E-28
3511.9561225093  3.377539E-28
3513.02324180377  3.821977E-28
3514.09040584736  4.114855E-28
3515.15761459479  3.982735E-28
3516.22486800078  4.925501E-28
3517.29216602005  3.362656E-28
3518.35950860732  3.548698E-28
3519.4268957173  4.376087E-28
3520.49432730472  3.060526E-28
3521.56180332429  3.615574E-28
3522.62932373074  3.768189E-28
3523.69688847878  4.112823E-28
3524.76449752313  4.006449E-28
3525.83215081852  3.385118E-28
3526.89984831965  3.855897E-28
3527.96758998125  3.363618E-28
3529.03537575805  3.016349E-28
3530.10320560474  2.420069E-28
3531.17107947607  1.639931E-28
3532.23899732674  3.006510E-28
3533.30695911148  3.433213E-28
3534.37496478499  4.037450E-28
3535.44301430201  4.048060E-28
3536.51110761725  3.697681E-28
3537.57924468544  3.440425E-28
3538.64742546128  3.302929E-28
3539.7156498995  3.451911E-28
3540.78391795482  3.073212E-28
3541.85222958196  2.832137E-28
3542.92058473563  3.343813E-28
3543.98898337055  2.625274E-28
3545.05742544145  2.305123E-28
3546.12591090305  2.045900E-28
3547.19443971005  3.565176E-28
3548.26301181719  3.336525E-28
3549.33162717917  4.716962E-28
3550.40028575073  3.659364E-28
3551.46898748657  3.341643E-28
3552.53773234143  3.696686E-28
3553.60652027  2.591359E-28
3554.67535122703  3.725017E-28
3555.74422516722  5.779177E-28
3556.81314204529  4.679255E-28
3557.88210181596  4.674811E-28
3558.95110443396  5.606354E-28
3560.02014985399  5.645587E-28
3561.08923803079  4.929991E-28
3562.15836891906  4.838314E-28
3563.22754247354  5.559296E-28
3564.29675864893  5.959392E-28
3565.36601739995  4.571971E-28
3566.43531868133  4.261800E-28
3567.50466244779  3.913805E-28
3568.57404865403  3.677101E-28
3569.64347725479  4.621353E-28
3570.71294820478  4.728874E-28
3571.78246145873  4.359254E-28
3572.85201697133  5.490314E-28
3573.92161469733  5.196823E-28
3574.99125459144  4.659064E-28
3576.06093660837  5.353870E-28
3577.13066070285  5.094295E-28
3578.20042682959  4.048086E-28
3579.27023494332  5.424545E-28
3580.34008499875  4.582854E-28
3581.4099769506  5.658098E-28
3582.47991075359  4.421177E-28
3583.54988636244  5.616134E-28
3584.61990373187  5.358391E-28
3585.6899628166  4.674344E-28
3586.76006357134  5.243106E-28
3587.83020595083  4.724011E-28
3588.90038990976  4.126772E-28
3589.97061540287  3.699460E-28
3591.04088238488  4.919019E-28
3592.11119081049  3.632290E-28
3593.18154063444  5.098055E-28
3594.25193181144  5.888737E-28
3595.3223642962  4.068127E-28
3596.39283804346  4.335162E-28
3597.46335300792  5.598777E-28
3598.53390914431  5.424513E-28
3599.60450640734  4.370689E-28
3600.67514475174  4.592341E-28
3601.74582413222  3.803021E-28
3602.81654450351  5.107362E-28
3603.88730582032  4.110309E-28
3604.95810803736  5.158047E-28
3606.02895110937  4.507513E-28
3607.09983499106  3.860854E-28
3608.17075963714  4.367690E-28
3609.24172500235  5.195742E-28
3610.31273104138  4.292146E-28
3611.38377770898  4.256606E-28
3612.45486495985  3.084903E-28
3613.52599274871  4.379483E-28
3614.59716103028  3.711807E-28
3615.66836975928  3.519052E-28
