wavelength        flux_density
5469.6827142373  1.006507E-28
5471.19806114661  1.422126E-28
5472.71343495209  1.014415E-28
5474.22883564328  2.887456E-28
5475.74426320968  1.438559E-28
5477.25971764086  1.360632E-30
5478.77519892632  8.190173E-29
5480.2907070556  1.860395E-28
5481.80624201824  4.128644E-29
5483.32180380375  4.500456E-29
5484.83739240169  1.171306E-28
5486.35300780156  1.953814E-28
5487.86864999291  1.055968E-28
5489.38431896527  1.065719E-28
5490.90001470817  1.376307E-28
5492.41573721113  1.473180E-28
5493.93148646369  2.445186E-29
5495.44726245537  1.184141E-29
5496.96306517572  5.006782E-29
5498.47889461426  1.348117E-29
5499.99475076051  2.001005E-28
5501.51063360402  2.558995E-28
5503.02654313431  1.633618E-28
5504.54247934091  8.282347E-29
5506.05844221336  1.482841E-28
5507.57443174118  3.400462E-28
5509.0904479139  2.299454E-28
5510.60649072106  -6.822937E-29
5512.12256015219  1.996320E-28
5513.63865619681  2.727863E-29
5515.15477884446  1.885689E-29
5516.67092808467  3.183567E-28
5518.18710390697  1.069329E-28
5519.70330630089  1.855302E-28
5521.21953525595  1.607527E-28
5522.7357907617  5.840750E-29
5524.25207280766  1.325494E-28
5525.76838138336  1.276309E-28
5527.28471647833  2.596284E-28
5528.80107808211  2.302173E-28
5530.31746618423  2.173596E-28
5531.8338807742  2.914855E-28
5533.35032184158  2.129275E-28
5534.86678937587  6.406115E-29
5536.38328336663  3.237484E-28
5537.89980380337  5.409456E-29
5539.41635067564  1.841391E-28
5540.93292397295  3.616569E-29
5542.44952368484  2.408776E-28
5543.96614980084  3.178768E-28
5545.48280231048  1.397183E-28
5546.9994812033  2.583876E-28
5548.51618646882  2.073250E-28
5550.03291809657  9.945433E-29
5551.54967607608  6.868285E-29
5553.06646039689  -2.038682E-29
5554.58327104852  1.036770E-28
5556.10010802051  8.639834E-29
5557.61697130239  1.431183E-28
5559.13386088369  2.687636E-28
5560.65077675393  1.707839E-28
5562.16771890265  2.157850E-28
5563.68468731938  1.037957E-28
5565.20168199365  1.104499E-28
5566.71870291499  2.050489E-28
5568.23575007293  5.026267E-29
5569.75282345701  1.647772E-28
5571.26992305675  5.668821E-29
5572.78704886168  2.412242E-28
5574.30420086133  1.789417E-29
5575.82137904524  2.904069E-28
5577.33858340294  3.302978E-28
5578.85581392395  2.291188E-28
5580.37307059781  1.617614E-28
5581.89035341405  2.451155E-28
5583.40766236219  1.503308E-28
5584.92499743178  2.398461E-28
5586.44235861233  1.094709E-28
5587.95974589338  1.248386E-28
5589.47715926447  2.930251E-28
5590.99459871512  1.786081E-28
5592.51206423486  1.417961E-28
5594.02955581322  2.204271E-29
5595.54707343974  6.176489E-29
5597.06461710394  1.673295E-28
5598.58218679535  1.478440E-28
5600.09978250352  1.049799E-28
5601.61740421795  1.569501E-28
5603.1350519282  1.766435E-28
5604.65272562379  2.809296E-28
5606.17042529424  1.015891E-28
5607.68815092909  1.561866E-28
5609.20590251787  2.127516E-28
5610.72368005011  1.008311E-28
