\fixlen = T
\RowsRetrieved = 136
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-09-14 12:40:19'
\DataTag = 'ADS/IRSA.Gator#2019/0914/124019_25235'
\DATABASE = 'NEOWISE-R Single Exposure (L1b) Source Table (neowiser_p1bs_psd)'
\EQUINOX = 'J2000'
\SKYAREA = 'within 2.75 arcsec of  ra=181.43625 dec=+34.38122 Eq J2000 '
\StatusFile = '/workspace/TMP_a60ce4_23406/Gator/irsa/25235/log.25235.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (23 column names follow in next row.)'
\ 
\ 
\ ra (deg)
\ ___ right ascension (J2000)
\ dec (deg)
\ ___ declination (J2000)
\ source_id
\ ___ unique source ID (scan ID, frame num, and source number)
\ w1mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 1
\ w1sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 1
\ w1snr
\ ___ instrumental profile-fit photometry S/N ratio, band 1
\ w2mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 2
\ w2sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 2
\ w2snr
\ ___ instrumental profile-fit photometry S/N ratio, band 2
\ cc_flags
\ ___ prioritized artifacts affecting the source in each band
\ ph_qual
\ ___ photometric quality of each band (A=highest, U=upper limit)
\ qual_frame
\ ___ quality score value for frame
\ mjd (mjdate)
\ ___ modified Julian date of the mid-point of the observation of the frame
\ w1mpro_allwise (mag)
\ ___ W1mpro magnitude  of the associated ALLWISE source
\ w1sigmpro_allwise (mag)
\ ___ W1 photometric uncertainty of the associated ALLWISE  source
\ w2mpro_allwise (mag)
\ ___ W2mpro magnitude  of the associated ALLWISE  source
\ w2sigmpro_allwise (mag)
\ ___ W2 photometric uncertainty of the associated ALLWISE  source
\ w3mpro_allwise (mag)
\ ___ W3mpro magnitude  of the associated ALLWISE  source
\ w3sigmpro_allwise (mag)
\ ___ W3 photometric uncertainty of the associated ALLWISE source
\ w4mpro_allwise (mag)
\ ___ W4mpro magnitude  of the associated ALLWISE  source
\ w4sigmpro_allwise (mag)
\ ___ W4 photometric uncertainty of the associated ALLWISE  source
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 181.4362591 34.3812203 82375a189-000639 15.315     0.118    9.2 14.155     0.176    6.2 0000     BB              10 57892.16934200         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.027145  87.712500 
 181.4362323 34.3812042 93393a165-000468 15.150     0.110    9.9 14.042     0.152    7.2 0000     BB              10 58252.78720935         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.077452 222.754732 
 181.4362484 34.3811980 60417a174-000548 15.065     0.122    8.9   null      null   null 0000     BX              10 57172.64762428         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.079320 183.434871 
 181.4362468 34.3812422 60414a199-000469 15.035     0.104   10.4 13.966     0.149    7.3 0000     AB              10 57172.58204541         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.080502 353.215866 
 181.4362195 34.3811962 55188a077-000551 15.259     0.107   10.2 13.912     0.132    8.2 0000     AB              10 57000.93779721         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.124698 226.604347 
 181.4362302 34.3811854 66298a009-000496 15.001     0.131    8.3 13.810     0.173    6.3 0000     BB              10 57365.52078811         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.137764 205.280473 
 181.4362636 34.3811770 71374a194-000486 15.052     0.098   11.0 13.965     0.145    7.5 0000     AB               5 57531.91924948         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.159974 165.370798 
 181.4362109 34.3812539 49429a175-000659 15.544     0.161    6.7 13.960     0.142    7.7 0000     BB               5 56811.56543451         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.168487 316.411858 
 181.4362554 34.3812679 82373a120-000525 15.178     0.142    7.6 13.939     0.165    6.6 0000     BB              10 57892.10338094         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.173188   5.315490 
 181.4361925 34.3812313 77417b093-000454 15.114     0.102   10.6 14.022     0.248    4.4 0000     AB              10 57729.84695801         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.175625 283.393964 
 181.4362277 34.3812673 49398a199-000477 15.618     0.162    6.7 13.692     0.130    8.3 0000     BB              10 56810.57843983         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.182717 338.739285 
 181.4363107 34.3812392 93383a189-000561 15.333     0.122    8.9 13.887     0.126    8.6 0000     BB              10 58252.45995089         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.193147  69.029802 
 181.4363052 34.3812568 71351a117-000431 15.092     0.106   10.2 13.717     0.133    8.2 0000     AB              10 57531.13306532         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.210826  51.069103 
 181.4362382 34.3812782 99742a066-000474 15.156     0.114    9.5 13.916     0.130    8.4 0000     BB              10 58460.50392890         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.212433 350.500788 
 181.4362230 34.3812763 55180a078-000505 15.428     0.136    8.0 13.911     0.129    8.4 0000     BB              10 57000.67497113         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.217986 338.406774 
 181.4361838 34.3812472 66285b097-000438 15.275     0.113    9.6 13.850     0.112    9.7 0000     BB              10 57365.12743990         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.219713 296.466507 
 181.4362331 34.3811598 55174a012-000625 15.219     0.154    7.1 13.877     0.139    7.8 0000     BB              10 57000.47772427         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.222469 193.044532 
 181.4361779 34.3811992 93375a117-000520 15.056     0.107   10.1 14.105     0.162    6.7 0000     AB              10 58252.19776219         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.226926 250.732635 
 181.4361851 34.3812546 77406a058-000578 15.077     0.155    7.0 13.986     0.143    7.6 0000     BB              10 57729.45386491         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.229554 302.861748 
 181.4362321 34.3812822 77412a069-000425 14.865     0.090   12.1 13.933     0.157    6.9 0000     AB              10 57729.65047507         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.230150 346.639490 
 181.4362647 34.3812841 71385a171-000481 15.003     0.129    8.4 14.032     0.160    6.8 0000     BB              10 57532.24688983         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.234863  10.717311 
 181.4361869 34.3811794 71377a171-000661 15.313     0.196    5.5 14.023     0.149    7.3 0000     BB              10 57531.98482845         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.237721 232.059168 
 181.4362864 34.3812807 88536a067-000520 15.180     0.120    9.1 14.037     0.149    7.3 0000     BB              10 58093.82965486         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.243823  26.331123 
 181.4361736 34.3811882 77401b093-000421 14.980     0.103   10.6 13.856     0.135    8.0 0000     AB              10 57729.32296066         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.254217 243.236431 
