mjd,mag,magerr,expid,ra,dec,programid,catflags
58202.33652,18.70899,0.04540,44833187,181.43615,34.38125,1,0
58205.28663,18.75807,0.04694,45128206,181.43619,34.38125,1,0
58205.30817,18.67840,0.04447,45130359,181.43615,34.38123,1,0
58227.30210,18.66216,0.04399,47329848,181.43621,34.38131,3,0
58227.30398,18.70715,0.04535,47330037,181.43617,34.38127,1,0
58229.26594,18.68830,0.04477,47526244,181.43622,34.38124,3,0
58230.32094,18.62660,0.04296,47631749,181.43611,34.38122,3,32768
58230.33511,18.71313,0.04553,47633167,181.43619,34.38122,1,0
58233.23781,18.66194,0.04398,47923454,181.43617,34.38125,3,0
58233.23908,18.62870,0.04302,47923582,181.43617,34.38125,1,0
58234.19474,18.74063,0.04639,48019153,181.43621,34.38125,3,0
58234.23674,18.70224,0.04520,48023354,181.43620,34.38124,3,0
58235.17743,18.71590,0.04562,48117429,181.43610,34.38122,3,0
58235.23349,18.62208,0.04283,48123035,181.43614,34.38126,3,0
58236.17575,18.72947,0.04604,48217267,181.43621,34.38120,1,0
58236.17669,18.74015,0.04637,48217362,181.43621,34.38121,3,0
58236.23257,18.65345,0.04374,48222950,181.43618,34.38126,1,0
58237.18875,18.81590,0.04884,48318574,181.43626,34.38128,3,0
58237.23192,18.55076,0.04085,48322891,181.43616,34.38129,3,0
58238.17399,18.69763,0.04505,48417105,181.43620,34.38129,3,0
58243.21312,18.73451,0.04620,48921052,181.43617,34.38125,3,0
58244.21419,18.65801,0.04387,49021166,181.43619,34.38124,3,0
58247.19583,18.68931,0.04480,49319351,181.43619,34.38124,3,0
58248.20491,18.68392,0.04464,49420267,181.43617,34.38125,3,0
58248.20583,18.76826,0.04727,49420359,181.43620,34.38124,1,0
58249.21058,18.69521,0.04498,49520842,181.43621,34.38130,3,0
58250.19700,18.74007,0.04637,49619491,181.43615,34.38135,3,0
58255.20029,18.77170,0.04738,50119858,181.43617,34.38125,1,0
58258.17149,18.70770,0.04536,50417002,181.43618,34.38125,1,0
58258.17241,18.68467,0.04466,50417094,181.43619,34.38124,3,0
58259.17272,18.92018,0.05250,50517133,181.43602,34.38144,3,32768
