mjd,mag,magerr,expid,ra,dec,programid,catflags
58214.22073,18.37825,0.03725,46021648,181.43619,34.38125,1,32768
58215.24340,18.52168,0.04121,46123918,181.43617,34.38126,3,0
58216.24074,18.59440,0.04342,46223657,181.43622,34.38122,3,0
58217.24130,18.48252,0.04008,46323717,181.43618,34.38121,3,0
58217.24225,18.50948,0.04086,46323812,181.43617,34.38122,1,0
58217.31229,18.48306,0.04010,46330817,181.43617,34.38124,1,0
58217.31323,18.49839,0.04054,46330910,181.43622,34.38123,3,0
58218.24762,18.57517,0.04282,46424354,181.43619,34.38123,3,0
58218.25816,18.55039,0.04207,46425408,181.43622,34.38123,2,0
58218.30233,18.53016,0.04146,46429825,181.43622,34.38123,3,0
58219.22222,18.53623,0.04164,46521819,181.43619,34.38126,2,0
58219.24559,18.59445,0.04342,46524156,181.43611,34.38124,3,0
58219.26750,18.48604,0.04018,46526347,181.43618,34.38126,3,0
58221.21991,18.52829,0.04141,46721597,181.43616,34.38132,3,0
58221.24972,18.44877,0.03914,46724578,181.43626,34.38143,3,0
58222.26624,18.59051,0.04329,46826236,181.43620,34.38127,2,0
58224.22140,18.56034,0.04237,47021761,181.43620,34.38124,1,32768
58224.23075,18.53570,0.04163,47022696,181.43619,34.38126,3,0
58224.24211,18.53190,0.04151,47023833,181.43616,34.38126,2,32768
58224.28755,18.62624,0.04442,47028377,181.43613,34.38128,3,0
58224.28850,18.56153,0.04240,47028472,181.43624,34.38125,1,0
58226.25796,18.52959,0.04145,47225429,181.43618,34.38123,3,0
58231.19003,18.56992,0.04266,47718664,181.43619,34.38122,3,0
58231.28054,18.49780,0.04052,47727716,181.43621,34.38128,2,0
58233.18087,18.48705,0.04021,47917760,181.43616,34.38124,3,0
58233.18233,18.52628,0.04135,47917906,181.43616,34.38126,1,0
58242.29221,18.50354,0.04068,48828954,181.43616,34.38123,1,0
58243.17489,18.52649,0.04135,48917229,181.43618,34.38126,3,0
58244.17537,18.51183,0.04092,49017284,181.43618,34.38123,3,0
58245.17630,18.47127,0.03976,49117384,181.43617,34.38123,3,0
58245.17723,18.57277,0.04275,49117478,181.43618,34.38123,1,0
58246.23663,18.49260,0.04037,49223424,181.43617,34.38132,3,0
58247.23810,18.51541,0.04103,49323579,181.43620,34.38130,3,0
58248.23941,18.52492,0.04131,49423717,181.43619,34.38126,1,0
58248.24034,18.51007,0.04087,49423811,181.43621,34.38128,3,0
58249.23753,18.44930,0.03915,49523537,181.43623,34.38143,3,0
58254.19504,18.46889,0.03970,50019326,181.43617,34.38124,3,0
58255.24098,18.52175,0.04121,50123928,181.43617,34.38126,1,0
58255.24284,18.55737,0.04228,50124114,181.43618,34.38125,3,0
58256.24737,18.45452,0.03930,50224575,181.43620,34.38127,3,0
58256.28010,18.43743,0.03883,50227848,181.43616,34.38125,2,0
58257.23643,18.50461,0.04071,50323489,181.43617,34.38124,3,0
58258.21344,18.56123,0.04239,50421197,181.43616,34.38123,1,0
58258.21438,18.52911,0.04143,50421291,181.43617,34.38125,3,0
