\fixlen = T
\RowsRetrieved = 91
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-09-14 13:01:49'
\DataTag = 'ADS/IRSA.Gator#2019/0914/130149_9364'
\DATABASE = 'NEOWISE-R Single Exposure (L1b) Source Table (neowiser_p1bs_psd)'
\EQUINOX = 'J2000'
\SKYAREA = 'within 2.75 arcsec of  ra=249.72042 dec=+28.45214 Eq J2000 '
\StatusFile = '/workspace/TMP_a60ce4_23406/Gator/irsa/9364/log.9364.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (23 column names follow in next row.)'
\ 
\ 
\ ra (deg)
\ ___ right ascension (J2000)
\ dec (deg)
\ ___ declination (J2000)
\ source_id
\ ___ unique source ID (scan ID, frame num, and source number)
\ w1mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 1
\ w1sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 1
\ w1snr
\ ___ instrumental profile-fit photometry S/N ratio, band 1
\ w2mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 2
\ w2sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 2
\ w2snr
\ ___ instrumental profile-fit photometry S/N ratio, band 2
\ cc_flags
\ ___ prioritized artifacts affecting the source in each band
\ ph_qual
\ ___ photometric quality of each band (A=highest, U=upper limit)
\ qual_frame
\ ___ quality score value for frame
\ mjd (mjdate)
\ ___ modified Julian date of the mid-point of the observation of the frame
\ w1mpro_allwise (mag)
\ ___ W1mpro magnitude  of the associated ALLWISE source
\ w1sigmpro_allwise (mag)
\ ___ W1 photometric uncertainty of the associated ALLWISE  source
\ w2mpro_allwise (mag)
\ ___ W2mpro magnitude  of the associated ALLWISE  source
\ w2sigmpro_allwise (mag)
\ ___ W2 photometric uncertainty of the associated ALLWISE  source
\ w3mpro_allwise (mag)
\ ___ W3mpro magnitude  of the associated ALLWISE  source
\ w3sigmpro_allwise (mag)
\ ___ W3 photometric uncertainty of the associated ALLWISE source
\ w4mpro_allwise (mag)
\ ___ W4mpro magnitude  of the associated ALLWISE  source
\ w4sigmpro_allwise (mag)
\ ___ W4 photometric uncertainty of the associated ALLWISE  source
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 249.7204102 28.4521259 57409b068-003172 16.148     0.228    4.8 14.758      null    1.7 0000     BU               5 57073.92944907         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.059520 211.428516 
 249.7204089 28.4520851 68540a042-003568 16.170     0.227    4.8 15.322     0.381    2.9 0000     BC              10 57439.01111198         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.200750 190.079886 
 249.7204440 28.4521964 90876a035-002904 15.909     0.209    5.2 15.449     0.464    2.3 0000     BC              10 58170.41017881         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.216791  20.512532 
 249.7204476 28.4522112 79752a040-004684 16.494     0.312    3.5 15.007     0.412    2.6 0000     BC              10 57806.27649561         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.270790  18.820096 
 249.7203113 28.4521641 79717b064-004917 16.550     0.380    2.9 14.919     0.327    3.3 0000     CB              10 57805.16317589         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.354823 284.153192 
 249.7204475 28.4520423 90846a059-004146 16.731     0.371    2.9 14.732      null    2.0 0000     CU               5 58169.42839574         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.362331 166.099922 
 249.7203342 28.4520639 90856a035-002929 16.174     0.247    4.4 14.877      null    1.9 0000     BU              10 58169.75565674         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.385756 224.749232 
 249.7204045 28.4522514 62762a225-003697 15.952     0.262    4.1 15.481      null   -0.2 0000     BU              10 57249.60864495         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.404033 353.025526 
 249.7205519 28.4521530 79740a040-005733 16.697     0.364    3.0 14.817      null    1.8 0000     CU              10 57805.88352931         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.420104  83.603848 
 249.7202850 28.4521318 46325b074-003276 16.335     0.294    3.7 15.444     0.485    2.2 0000     BC              10 56709.41941653         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.428321 266.048023 
 249.7205659 28.4521798 95819a218-003237 15.862     0.189    5.8 15.258     0.422    2.6 0000     BC              10 58332.16465681         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.483511  72.762686 
 249.7205800 28.4521728 46401b071-004024 15.774      null    1.9 14.835     0.298    3.6 0000     UB              10 56711.92224244         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.520008  76.875224 
 249.7205389 28.4520033 73703a151-004972 16.940     0.437    2.5 15.007     0.295    3.7 0000     CB               5 57608.18237000         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.619524 142.593694 
 249.7205567 28.4522684 62758a225-005269 16.501     0.347    3.1 14.968      null    1.3 0000     BU               5 57249.47748692         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.633151  43.108073 
 249.7205231 28.4523122 62781a142-003323 16.711     0.338    3.2 14.482     0.307    3.5 0000     BB              10 57250.19911089         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.700568  27.762542 
