specObjID ra dec plate mjd fiberID psfMag_u psfMagErr_u psfMag_g psfMagErr_g psfMag_r psfMagErr_r psfMag_i psfMagErr_i psfMag_z psfMagErr_z
5855957520816672768 248.59354 30.587839 5201 55832 553 16.72052 0.02378622 15.80876 0.01435689 15.47316 0.01088997 15.34452 0.01393032 15.31849 0.01439831
5855927009369001984 248.66985 28.649232 5201 55832 442 17.05615 0.01882016 16.11521 0.01127787 15.79364 0.01768403 15.66051 0.01738986 15.62854 0.01366632
5855963293252718592 248.69353 30.218935 5201 55832 574 17.27495 0.01982959 16.44107 0.02840292 16.07796 0.01433982 15.94512 0.01154927 15.92009 0.02252531
5856029263950385152 249.95256 30.099171 5201 55832 814 17.50772 0.02463427 16.62925 0.02498847 16.33485 0.02108261 16.18749 0.01738363 16.15536 0.02121997
5855976487392251904 249.00199 31.023766 5201 55832 622 18.26555 0.02482972 17.4063 0.02041725 17.12109 0.01760682 16.97937 0.01933065 16.96109 0.02631528
5856064448322473984 250.6593 30.868269 5201 55832 942 18.85152 0.02764899 17.96807 0.04516371 17.66811 0.05552939 17.57528 0.05462898 17.50899 0.02439768
5855818157717852160 250.52468 28.780486 5201 55832 46 18.86931 0.02639895 17.99412 0.01535596 17.69984 0.01342071 17.58343 0.0141773 17.58182 0.0193744
5855818707473666048 250.69794 28.635179 5201 55832 48 19.05466 0.02601913 18.17448 0.01735233 17.88111 0.01452687 17.80265 0.01119022 17.76298 0.02234735
5855916564008538112 248.86591 29.04282 5201 55832 404 19.14365 0.02542267 18.28926 0.01394872 18.00114 0.01468013 17.87513 0.01539975 17.86197 0.02275751
5855840147950407680 249.97759 28.789569 5201 55832 126 19.28195 0.02817383 18.36097 0.01763842 18.03862 0.01054998 17.90317 0.01474129 17.85813 0.02102581
5855928383758536704 248.67081 28.773474 5201 55832 447 19.25058 0.02705503 18.41712 0.01252579 18.06034 0.01835537 17.91515 0.01821805 17.88702 0.02054155
5856023216636432384 249.80582 30.812526 5201 55832 792 19.36788 0.03527011 18.48202 0.0154905 18.179 0.01851374 18.0577 0.01524017 18.06976 0.02827307
5855869285008543744 249.774 29.849204 5201 55832 232 19.47787 0.02546742 18.58839 0.01599944 18.23907 0.01304197 18.07511 0.01408175 18.07401 0.02758795
5855829702589943808 250.07132 28.800068 5201 55832 88 19.74698 0.04378172 18.88737 0.01608508 18.57732 0.02247036 18.46899 0.0207494 18.4545 0.04288626
5855870934275985408 249.77764 29.44538 5201 55832 238 19.83077 0.03597703 18.95134 0.01147908 18.64197 0.01695383 18.51035 0.01611347 18.50352 0.02993306
5855937179851558912 248.38659 29.389515 5201 55832 479 19.82496 0.03541108 18.95457 0.01699521 18.65486 0.01470688 18.56897 0.0153363 18.52065 0.02886778
5855865436717846528 249.68936 29.06684 5201 55832 218 19.87239 0.03250295 19.00204 0.0133102 18.71885 0.01493164 18.5916 0.01456367 18.57787 0.03158316
5855916014252724224 248.90097 28.657289 5201 55832 402 19.9219 0.04901642 19.08144 0.01585361 18.74188 0.02793334 18.58982 0.02218353 18.54021 0.04683193
5855996003723644928 249.3111 30.562615 5201 55832 693 20.04946 0.03983702 19.18134 0.0219019 18.91512 0.01687758 18.80897 0.01673278 18.79278 0.03348476
5855807162601574400 251.17158 29.785011 5201 55832 6 20.14192 0.03951543 19.28358 0.01847749 18.94727 0.01806959 18.81356 0.01865874 18.8133 0.04457995
