mjd,mag,magerr,expid,ra,dec,programid,catflags
58254.48189,19.82211,0.10225,50048385,337.07818,22.01749,1,0
58257.46300,19.89471,0.10738,50346472,337.07818,22.01748,1,0
58266.38077,19.73389,0.09622,51238175,337.07836,22.01750,1,0
58272.45965,19.81599,0.10182,51846012,337.07819,22.01748,1,0
58273.43383,19.62920,0.08941,51943422,337.07819,22.01751,3,0
58274.46461,19.77707,0.09914,52046491,337.07822,22.01750,3,0
58276.44707,19.84740,0.10402,52244721,337.07821,22.01752,3,0
58277.42092,19.83662,0.10326,52342097,337.07818,22.01752,3,0
58278.46347,19.91564,0.10889,52446343,337.07825,22.01755,3,0
58278.47703,19.73987,0.09662,52447699,337.07823,22.01751,1,0
58279.42384,20.08180,0.12120,52542372,337.07824,22.01749,3,0
58280.47978,19.90457,0.10809,52647957,337.07822,22.01750,3,0
58281.46264,19.84737,0.10401,52746234,337.07820,22.01749,1,0
58281.47652,19.86806,0.10548,52747622,337.07823,22.01751,3,0
58282.46390,19.80838,0.10129,52846353,337.07820,22.01756,3,0
58283.47857,20.02860,0.11720,52947811,337.07817,22.01757,3,0
58287.46443,19.85732,0.10472,53346363,337.07819,22.01751,1,0
58290.46901,19.88771,0.10688,53646796,337.07826,22.01754,1,0
58293.46748,19.81988,0.10209,53946618,337.07816,22.01748,1,0
58296.35928,19.90033,0.10778,54235774,337.07812,22.01740,1,0
58299.43867,19.70071,0.09402,54543688,337.07818,22.01758,1,0
58310.43837,19.99330,0.11457,55643574,337.07827,22.01758,1,0
58319.44652,19.92740,0.10974,56544326,337.07819,22.01750,1,0
58322.41951,19.92278,0.10940,56841606,337.07819,22.01751,1,0
58328.41636,19.83483,0.10313,57441255,337.07832,22.01763,1,0
58331.41786,20.18219,0.12886,57741388,337.07828,22.01753,1,0
58334.37125,19.84547,0.10388,58036712,337.07818,22.01755,1,0
58337.35587,19.90331,0.10800,58335159,337.07821,22.01749,1,0
58340.38352,19.76960,0.09863,58637912,337.07825,22.01748,1,32768
58343.35637,19.88887,0.10696,58935184,337.07824,22.01751,1,0
58346.38570,19.91261,0.10867,59238106,337.07819,22.01751,1,0
58349.33811,19.94512,0.11103,59533337,337.07820,22.01751,1,0
58352.32008,19.99828,0.11494,59831525,337.07823,22.01747,1,0
58355.32285,19.99570,0.11475,60131795,337.07815,22.01745,1,0
58355.42585,19.94422,0.11096,60142094,337.07824,22.01766,1,0
58358.27826,20.06480,0.11992,60427329,337.07819,22.01745,1,0
58361.31608,19.89039,0.10707,60731107,337.07824,22.01751,1,0
58367.32150,20.05137,0.11891,61331643,337.07820,22.01751,1,0
58370.29886,20.31674,0.13915,61629378,337.07829,22.01755,1,0
58373.30171,20.22894,0.13244,61929663,337.07822,22.01749,1,0
58376.34624,19.94657,0.11113,62234118,337.07821,22.01750,1,0
58379.31453,20.09689,0.12235,62530950,337.07818,22.01752,1,0
58382.32505,20.06789,0.12015,62832006,337.07823,22.01750,1,0
58385.25846,19.97982,0.11357,63125353,337.07823,22.01744,1,0
58388.27499,20.24135,0.13339,63427012,337.07803,22.01748,1,0
58400.23123,20.07907,0.12100,64622677,337.07821,22.01750,1,0
58423.14391,20.18768,0.12928,66914071,337.07822,22.01747,1,0
58429.14810,20.16624,0.12764,67514533,337.07823,22.01752,1,0
58432.13290,20.22721,0.13231,67813035,337.07826,22.01751,1,0
58456.13210,20.20961,0.13096,70213155,337.07825,22.01747,1,0
58469.09283,20.10199,0.12274,71509342,337.07820,22.01750,1,0
58475.13992,20.08622,0.12154,72114104,337.07816,22.01753,1,0
58514.09671,19.92149,0.10931,76010065,337.07824,22.01753,2,0
58514.10163,20.02590,0.11700,76010557,337.07820,22.01746,2,0
58588.49320,20.45314,0.14927,83449723,337.07820,22.01754,2,0
58588.50252,20.12824,0.12473,83450656,337.07822,22.01751,2,0
58591.50250,19.63002,0.08946,83750637,337.07813,22.01756,2,0
58608.48289,20.43253,0.14778,85448569,337.07821,22.01742,1,0
58634.43222,20.34624,0.14138,88043297,337.07819,22.01755,1,0
58637.43266,20.45040,0.14907,88343315,337.07819,22.01749,1,0
58640.46759,20.49125,0.15198,88646783,337.07830,22.01754,1,0
58643.47440,20.58045,0.15820,88947438,337.07830,22.01752,1,0
58646.46660,20.46498,0.15012,89246633,337.07822,22.01751,1,0
58658.41522,20.37529,0.14356,90441394,337.07826,22.01751,1,0
58661.43056,20.31634,0.13912,90742903,337.07819,22.01754,1,0
58665.44319,20.43419,0.14790,91144134,337.07821,22.01750,1,0
58668.37454,20.44304,0.14854,91437246,337.07822,22.01752,1,0
58674.46584,20.49706,0.15238,92046329,337.07827,22.01750,1,0
58677.30106,20.74105,0.16951,92329831,337.07825,22.01760,1,0
