mjd                     magnitude               magnitude_err
4.591983863618032125e-03 2.047827920540655100e+01 2.444277306285285445e-01
5.677726759999495698e+01 2.045324700000000107e+01 4.159551898795035285e-01
1.186840269622252464e+02 2.038025960923944524e+01 2.843968943884108702e-01
1.546569746000022860e+02 2.066044700000000134e+01 4.325211294872129963e-01
3.190233693999907700e+02 2.011156199999999927e+01 3.772951711725032742e-01
3.269821754999939003e+02 1.950758599999999987e+01 3.032638077644654873e-01
4.467812847000022884e+02 2.009296199999999999e+01 3.402417948858851848e-01
5.576446494999909191e+02 1.937243599999999688e+01 2.606447814289038489e-01
6.700323451999938698e+02 1.985351799999999756e+01 3.808546249245834403e-01
6.800031696628113878e+02 2.004300446957166315e+01 2.772809936742516856e-01
7.149162923999974737e+02 1.939877800000000008e+01 2.841598745805603565e-01
7.359059946999987005e+02 1.942495800000000017e+01 2.888164282194910504e-01
7.937358156166633307e+02 1.994907378625810068e+01 1.988431128461705666e-01
8.028017563000030350e+02 1.979322200000000009e+01 3.149436564909445235e-01
8.218084867999932612e+02 1.983259599999999878e+01 3.107798301749691294e-01
8.277921529504144473e+02 1.979647374814794603e+01 1.550419567448430014e-01
8.317020279244418361e+02 1.995039705063022595e+01 1.639271520477424970e-01
8.487179341783098607e+02 2.018416474321406184e+01 2.067448903530648419e-01
8.617053942999991705e+02 1.990328799999999987e+01 3.315604809165950684e-01
1.065984455515240370e+03 1.990851625475885811e+01 1.943071769498625201e-01
1.158845764099998632e+03 2.037410799999999966e+01 3.754535346415748265e-01
1.171888711603555294e+03 2.013688559341577644e+01 2.453774084193446614e-01
1.177774961800440224e+03 2.006775453274740784e+01 1.538867346358993304e-01
1.185767564099995070e+03 2.051660499999999843e+01 3.808482569349532221e-01
1.205747115610823585e+03 2.022780005942196624e+01 2.489523361472717744e-01
1.216651878899996518e+03 2.010137600000000191e+01 4.300775502200809841e-01
1.420989148999993631e+03 2.008306099999999716e+01 3.659717420918723318e-01
1.483856781700000283e+03 2.038391499999999823e+01 5.068833335256999195e-01
1.509824086143694785e+03 2.005018793488548212e+01 2.588022658467826753e-01
1.531785679300002812e+03 2.069694199999999995e+01 4.311436852277901188e-01
1.584743312700004026e+03 2.042698900000000251e+01 3.979430182267791327e-01
1.761041676200002257e+03 2.030416099999999702e+01 3.878874302888702386e-01
1.777013900499994634e+03 2.008363900000000157e+01 3.616442382358190377e-01
1.802949605899993912e+03 2.050357199999999835e+01 4.117005866900664834e-01
1.922774338700000953e+03 2.070580499999999802e+01 4.358339048952796224e-01
1.941738129722887606e+03 2.026652552277087338e+01 2.193451103292423932e-01
1.948657569536673236e+03 2.003395497288866878e+01 2.482252687663719093e-01
2.263942573499996797e+03 2.058391199999999799e+01 3.450289708782952602e-01
2.296836326061521504e+03 2.027648510572543472e+01 2.734722809283158251e-01
2.534947324200002186e+03 2.037308999999999770e+01 3.918334384092606038e-01
2.542009471408491663e+03 2.003065501392250525e+01 2.645562736289299721e-01
2.627851460099998803e+03 2.018769599999999897e+01 3.148920798771018825e-01
2.663648766899998009e+03 2.002318800000000110e+01 3.557415284214818230e-01
2.887949003918688504e+03 1.976976483681293928e+01 2.448630332570927992e-01
2.977882276613405338e+03 1.983889067052864519e+01 1.765728924203785188e-01
2.990747469529524551e+03 1.971679398563190944e+01 2.330456564077181547e-01
3.001791112560809779e+03 1.992533673279137929e+01 1.650659476312679175e-01
3.012836112721316567e+03 1.990034723393773319e+01 1.914771658142775945e-01
3.017697500999995100e+03 2.015768699999999924e+01 3.674017287439044765e-01
3.027774135700004990e+03 2.051692300000000202e+01 4.103647408481380654e-01
3.040777344770431228e+03 1.974226193053426215e+01 1.160907691702799532e-01
3.046641556269378725e+03 1.990350448157370167e+01 1.431669161904317034e-01
3.092662414081078168e+03 1.962377402377925861e+01 1.113781982828811884e-01
3.109669019599645253e+03 1.943698699999999491e+01 2.043146536335611607e-01
3.249975726792379646e+03 1.959829052370804803e+01 1.341593115768794087e-01
3.276005595694271506e+03 1.939226097264933202e+01 1.046508569438029251e-01
3.281910195052944346e+03 2.021693822560064291e+01 2.698648738888392851e-01
3.342810431165992213e+03 1.948340258026485827e+01 9.201230769712208379e-02
3.355784939209135700e+03 1.945633967777927609e+01 9.922736209407598262e-02
3.370757527452561590e+03 1.942431553275649492e+01 9.598541433346449714e-02
3.392743957089241121e+03 1.970558140462579289e+01 1.568061997455666712e-01
3.399702300438734255e+03 1.941662629117101702e+01 9.651502858370264448e-02
3.424656877113952760e+03 1.947598015964306484e+01 9.874121056397708318e-02
3.442633237894473041e+03 1.977136288992628366e+01 1.152793216973907464e-01
3.461638021101894992e+03 1.946320400000000106e+01 1.962984865350942965e-01
3.606993948912359429e+03 1.961314336377974143e+01 1.602664868113505559e-01
3.613005362197305658e+03 1.973333657535539487e+01 1.376877962555459467e-01
3.630971409745977326e+03 1.991113167143511831e+01 1.299831379837290968e-01
3.637956732244220802e+03 1.979333620784553815e+01 1.564103888121442520e-01
3.696789151710229817e+03 1.984982472229635064e+01 1.447224840219486219e-01
3.729677974905847350e+03 1.993422599999999889e+01 2.541301184564575544e-01
3.736665618136074045e+03 1.973665188179245433e+01 1.194195484452034439e-01
3.744678198889826945e+03 1.963558509976544997e+01 1.126912333458665039e-01
3.755667353858755177e+03 2.011133505809537780e+01 1.355826375628130520e-01
3.769802835308346403e+03 2.016918900000000292e+01 2.727884002972833510e-01
